class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,k,e,e,75,s,s,w,w,p,w,27,o,p,k,s,g
e,f,y,e,t,n,f,c,b,w,t,b,32,s,s,w,g,p,w,23,o,p,k,v,d
p,f,y,y,f,f,f,c,b,g,e,b,223,k,k,p,n,p,w,35,o,l,h,y,d
e,x,y,n,t,n,f,c,b,w,t,b,265,s,s,g,p,p,w,23,o,p,k,y,d
e,x,y,n,t,a,f,c,b,n,e,r,90,s,y,w,w,p,w,42,o,p,n,s,p
p,b,s,w,t,n,f,c,b,g,e,b,4,s,s,w,w,p,w,23,t,p,r,v,g
e,k,y,n,t,n,f,c,b,w,e,?,268,s,s,e,w,p,w,23,t,e,w,c,w
e,f,f,w,t,a,f,w,n,p,t,b,47,s,s,w,w,p,w,23,o,p,n,v,d
p,k,s,e,f,s,f,c,n,b,t,?,5,s,s,p,p,p,w,33,o,e,w,v,l
p,x,f,w,f,c,f,c,n,p,e,b,371,s,s,w,w,p,w,64,o,p,k,v,d
p,x,s,w,t,f,f,c,b,w,t,b,153,s,s,w,w,p,w,23,o,p,h,s,g
p,f,s,e,f,y,f,c,n,b,t,?,408,k,s,w,p,p,w,23,o,e,w,v,d
p,x,y,g,f,f,f,c,b,h,e,b,297,k,k,p,b,p,w,23,o,l,h,v,g
e,f,f,e,t,n,f,c,b,u,t,b,262,s,s,p,p,p,w,29,o,p,n,v,d
p,f,y,g,f,f,f,c,b,g,e,b,242,k,k,n,p,p,w,27,o,l,h,y,p
p,k,y,e,f,s,f,c,n,b,t,?,64,k,k,p,w,p,w,23,o,e,w,v,l
p,f,s,w,t,f,f,c,b,w,t,b,3500,f,f,w,w,p,w,27,o,p,h,v,u
e,f,y,n,t,l,f,c,b,w,e,r,22,s,y,w,w,p,w,17,o,p,n,y,p
p,f,y,g,f,f,f,c,b,g,e,b,5,k,k,b,n,p,w,26,o,l,h,y,g
p,k,y,n,f,f,f,c,n,b,t,?,237,k,s,p,w,p,w,29,o,e,w,v,d
e,f,y,n,t,n,f,c,b,w,t,b,26,s,s,g,w,p,w,25,o,p,k,v,d
p,f,s,w,t,p,f,c,n,k,e,e,50,s,s,w,w,p,w,31,o,p,k,s,u
e,x,f,e,t,n,f,c,b,w,t,b,25,s,s,p,g,p,w,34,o,p,k,v,d
e,x,y,e,t,n,f,c,b,u,t,b,226,s,s,w,p,p,w,25,o,p,n,y,d
p,f,f,y,f,f,f,c,b,h,e,b,305,k,k,p,n,p,w,33,o,l,h,y,p
e,f,s,w,t,a,f,w,n,n,t,b,243,s,s,w,w,p,w,37,o,p,u,v,d
e,x,y,y,t,l,f,c,b,w,e,r,2,s,y,w,w,p,w,55,o,p,k,y,g
p,x,y,n,f,f,f,c,n,b,t,?,50,k,k,w,p,p,w,23,o,e,w,v,d
p,x,f,y,f,f,f,c,b,g,e,b,97,k,k,n,n,p,w,32,o,l,h,y,d
e,b,s,y,t,l,f,c,b,g,e,c,15,s,s,w,w,p,w,26,o,p,k,s,m
p,f,s,b,t,f,f,c,b,p,t,b,2,s,f,w,w,p,w,23,o,p,h,v,u
p,f,s,n,f,s,f,c,n,b,t,?,178,s,s,w,w,p,w,39,o,e,w,v,d
e,x,y,e,t,n,f,c,b,w,t,b,4,s,s,p,w,p,w,28,o,p,n,y,d
e,x,y,n,t,n,f,c,b,w,t,b,252,s,s,p,w,p,w,59,o,p,k,y,d
e,x,y,w,t,l,f,c,b,n,e,c,5,s,s,w,w,p,w,47,o,p,n,s,g
p,f,y,e,f,f,f,c,n,b,t,?,16,k,s,p,p,p,w,61,o,e,w,v,l
p,x,s,p,f,c,f,c,n,p,e,b,93,s,s,w,w,p,w,23,o,p,n,s,d
e,x,f,n,t,n,f,c,b,w,t,b,112,s,s,g,g,p,w,28,o,p,n,v,d
p,f,y,n,f,s,f,c,n,b,t,?,615,s,k,w,p,p,w,86,o,e,w,v,l
p,f,f,y,f,f,f,c,b,g,e,b,211,k,k,n,p,p,w,30,o,l,h,v,d
p,f,y,y,f,f,f,c,b,p,e,b,67,k,k,b,n,p,w,31,o,l,h,v,g
p,f,y,g,f,f,f,c,b,h,e,b,22,k,k,b,b,p,w,24,o,l,h,y,g
p,f,f,g,f,f,f,c,b,p,e,b,186,k,k,b,b,p,w,23,o,l,h,v,d
p,k,y,e,f,s,f,c,n,b,t,?,531,s,k,p,w,p,w,23,o,e,w,v,l
p,k,s,e,f,s,f,c,n,b,t,?,27,s,k,w,p,p,w,24,o,e,w,v,l
p,k,s,e,f,s,f,c,n,b,t,?,14,k,s,p,p,p,w,30,o,e,w,v,d
p,x,s,n,f,f,f,c,n,b,t,?,6,k,s,w,w,p,w,42,o,e,w,v,l
p,k,y,e,f,f,f,c,n,b,t,?,26,k,s,w,w,p,w,25,o,e,w,v,d
p,x,s,w,t,f,f,c,b,w,t,b,308,f,f,w,w,p,w,41,o,p,h,v,u
e,f,s,w,t,a,f,w,n,p,t,b,69,s,s,w,w,p,w,43,o,p,n,v,d
e,f,f,n,f,n,f,w,b,n,t,e,4,f,f,w,w,p,w,53,o,e,n,a,g
e,f,f,g,t,n,f,c,b,p,t,b,47,s,s,g,w,p,w,23,o,p,k,y,d
e,k,s,w,f,n,f,w,b,g,e,?,31,s,k,w,w,p,w,42,t,p,w,n,g
e,f,f,g,t,n,f,c,b,w,t,b,26,s,s,w,g,p,w,60,o,p,n,v,d
e,x,y,n,t,l,f,c,b,p,e,r,53,s,y,w,w,p,w,25,o,p,n,y,p
e,b,y,y,t,l,f,c,b,n,e,c,82,s,s,w,w,p,w,31,o,p,k,n,m
e,b,y,y,t,a,f,c,b,w,e,c,240,s,s,w,w,p,w,42,o,p,k,n,g
p,x,s,n,f,f,f,c,n,b,t,?,90,s,s,w,p,p,w,30,o,e,w,v,d
p,x,s,g,t,f,f,c,b,h,t,b,72,f,s,w,w,p,w,37,o,p,h,v,g
p,x,y,y,f,f,f,c,b,h,e,b,48,k,k,p,n,p,w,45,o,l,h,y,g
e,f,f,c,f,n,f,w,n,w,e,b,421,f,s,w,n,p,w,23,o,e,w,v,l
p,k,s,e,f,s,f,c,n,b,t,?,253,s,k,p,w,p,w,25,o,e,w,v,p
e,f,f,e,t,n,f,c,b,u,t,b,27,s,s,w,p,p,w,37,o,p,n,v,d
e,x,s,w,f,n,f,w,b,k,t,e,21,s,s,w,w,p,w,32,o,e,n,a,g
e,f,f,g,t,n,f,c,b,u,t,b,237,s,s,w,p,p,w,36,o,p,k,v,d
p,b,s,b,t,n,f,c,b,w,e,b,204,s,s,w,w,p,w,40,t,p,r,v,g
e,f,f,e,t,n,f,c,b,p,t,b,108,s,s,p,w,p,w,23,o,p,k,y,d
p,k,y,n,f,f,f,c,n,b,t,?,123,s,s,p,w,p,w,26,o,e,w,v,d
e,b,s,n,f,n,f,c,b,w,e,b,486,y,y,n,n,p,w,24,t,p,w,y,d
e,x,s,w,t,l,f,w,n,n,t,b,179,s,s,w,w,p,w,72,o,p,u,v,d
e,f,y,y,t,a,f,c,b,n,e,r,1,s,y,w,w,p,w,26,o,p,k,y,p
p,f,y,g,f,f,f,c,b,h,e,b,85,k,k,b,n,p,w,23,o,l,h,y,g
p,x,s,n,f,y,f,c,n,b,t,?,1,k,s,p,w,p,w,24,o,e,w,v,l
e,x,f,g,f,n,f,w,b,p,t,e,40,f,f,w,w,p,w,56,o,e,n,s,g
e,x,y,n,t,n,f,c,b,n,t,b,304,s,s,p,w,p,w,23,o,p,k,y,d
e,x,s,g,f,n,f,w,b,p,e,?,639,k,k,w,w,p,w,23,t,p,w,s,g
e,x,s,y,t,a,f,c,b,k,e,c,11,s,s,w,w,p,w,29,o,p,n,s,m
e,x,f,e,t,n,f,c,b,w,t,b,35,s,s,g,p,p,w,84,o,p,n,v,d
e,x,f,n,f,n,f,w,b,k,t,e,78,f,s,w,w,p,w,24,o,e,k,s,g
e,f,f,g,t,n,f,c,b,n,t,b,5,s,s,g,p,p,w,49,o,p,k,y,d
e,f,f,n,t,n,f,c,b,u,t,b,65,s,s,g,g,p,w,43,o,p,n,y,d
e,x,f,w,f,n,f,w,b,p,t,e,7,f,f,w,w,p,w,46,o,e,k,a,g
e,f,y,g,t,n,f,c,b,p,t,b,141,s,s,w,p,p,w,54,o,p,k,y,d
p,x,f,g,f,f,f,c,b,p,e,b,380,k,k,b,n,p,w,55,o,l,h,v,p
p,k,y,e,f,y,f,c,n,b,t,?,2,s,s,w,p,p,w,38,o,e,w,v,d
p,k,s,e,f,y,f,c,n,b,t,?,369,s,s,p,p,p,w,35,o,e,w,v,l
p,f,y,g,f,f,f,c,b,h,e,b,334,k,k,n,b,p,w,27,o,l,h,y,g
e,f,f,e,t,n,f,c,b,u,t,b,4,s,s,w,p,p,w,35,o,p,k,y,d
e,x,y,n,t,n,f,c,b,p,t,b,256,s,s,p,g,p,w,23,o,p,k,v,d
e,f,s,n,t,n,f,c,b,e,e,?,149,s,s,w,w,p,w,25,t,e,w,c,w
e,f,f,g,t,n,f,c,b,p,t,b,5,s,s,g,w,p,w,23,o,p,n,y,d
e,b,s,y,t,l,f,c,b,n,e,c,4,s,s,w,w,p,w,24,o,p,n,n,g
e,f,s,w,f,n,f,w,b,h,t,e,248,s,f,w,w,p,w,23,o,e,n,a,g
e,f,f,g,t,n,f,c,b,w,t,b,73,s,s,w,g,p,w,26,o,p,n,y,d
e,x,y,g,t,n,f,c,b,w,t,b,64,s,s,g,g,p,w,45,o,p,n,y,d
e,f,y,e,t,n,f,c,b,p,t,b,248,s,s,g,g,p,w,53,o,p,n,v,d
p,f,s,e,f,y,f,c,n,b,t,?,407,s,s,p,w,p,w,23,o,e,w,v,l
e,k,y,b,t,n,f,c,b,w,e,?,71,s,s,w,e,p,w,60,t,e,w,c,w
p,x,f,g,f,c,f,c,n,p,e,b,259,s,s,w,w,p,w,63,o,p,k,s,d
p,x,f,g,f,c,f,w,n,p,e,b,183,s,s,w,w,p,w,43,o,p,n,v,d
e,x,f,n,t,n,f,c,b,u,t,b,115,s,s,g,w,p,w,54,o,p,k,v,d
p,k,s,e,f,y,f,c,n,b,t,?,495,k,k,w,w,p,w,50,o,e,w,v,l
e,f,y,e,t,n,f,c,b,n,t,b,72,s,s,g,g,p,w,35,o,p,k,v,d
e,f,s,p,t,n,f,c,b,e,e,?,365,s,s,w,w,p,w,24,t,e,w,c,w
e,x,s,y,t,a,f,c,b,w,e,c,38,s,s,w,w,p,w,0,o,p,n,n,g
e,f,f,g,f,n,f,w,b,k,t,e,54,f,f,w,w,p,w,32,o,e,n,a,g
p,x,y,g,f,f,f,c,b,p,e,b,43,k,k,b,n,p,w,43,o,l,h,y,p
e,x,y,p,t,n,f,c,b,e,e,?,71,s,s,e,e,p,w,46,t,e,w,c,w
e,f,s,w,t,l,f,w,n,n,t,b,378,s,s,w,w,p,w,29,o,p,u,v,d
e,x,s,w,f,n,f,w,b,k,t,e,31,f,s,w,w,p,w,39,o,e,n,a,g
e,x,y,n,t,l,f,c,b,w,e,r,9,s,y,w,w,p,w,29,o,p,k,y,g
p,f,y,y,f,f,f,c,b,p,e,b,19,k,k,n,n,p,w,25,o,l,h,v,d
p,f,s,e,f,s,f,c,n,b,t,?,10,k,s,w,w,p,w,44,o,e,w,v,p
e,f,f,e,t,n,f,c,b,p,t,b,3,s,s,g,g,p,w,31,o,p,k,y,d
p,k,s,e,f,f,f,c,n,b,t,?,681,s,k,p,w,p,w,28,o,e,w,v,l
e,f,f,n,t,n,f,c,b,w,t,b,294,s,s,p,p,p,w,45,o,p,k,v,d
p,k,y,n,f,y,f,c,n,b,t,?,39,k,s,w,p,p,w,23,o,e,w,v,p
e,f,s,n,f,n,a,c,b,n,e,?,403,s,s,o,o,p,n,55,o,p,b,v,l
e,f,f,w,f,n,f,w,b,h,t,e,99,s,s,w,w,p,w,30,o,e,k,a,g
e,f,y,n,t,n,f,c,b,w,t,b,171,s,s,p,g,p,w,54,o,p,n,y,d
p,x,f,y,f,f,f,c,b,g,e,b,120,k,k,p,p,p,w,27,o,l,h,y,p
p,k,s,e,f,s,f,c,n,b,t,?,781,s,s,p,p,p,w,25,o,e,w,v,p
p,x,y,n,t,p,f,c,n,k,e,e,161,s,s,w,w,p,w,27,o,p,n,v,g
e,x,s,n,f,n,a,c,b,n,e,?,2300,s,s,o,o,p,n,23,o,p,y,c,l
p,x,y,e,f,s,f,c,n,b,t,?,211,k,s,w,w,p,w,39,o,e,w,v,d
e,b,y,w,t,l,f,c,b,w,e,c,5,s,s,w,w,p,w,23,o,p,k,n,g
e,f,f,g,f,n,f,w,b,h,t,e,70,f,f,w,w,p,w,29,o,e,n,a,g
e,b,s,w,f,n,f,w,b,g,e,?,405,s,k,w,w,p,w,23,t,p,w,n,g
e,f,s,b,t,n,f,c,b,w,e,?,142,s,s,w,w,p,w,23,t,e,w,c,w
p,k,y,e,f,s,f,c,n,b,t,?,140,s,s,w,p,p,w,26,o,e,w,v,d
e,b,s,g,f,n,f,w,b,p,e,?,5,s,s,w,w,p,w,23,t,p,w,s,g
e,x,f,g,t,n,f,c,b,w,t,b,344,s,s,w,p,p,w,29,o,p,k,y,d
p,f,y,g,f,f,f,c,b,h,e,b,78,k,k,p,b,p,w,23,o,l,h,v,d
e,x,f,n,f,n,f,w,b,h,t,e,217,s,s,w,w,p,w,29,o,e,k,a,g
e,x,s,g,f,n,f,w,b,p,t,e,28,s,s,w,w,p,w,31,o,e,n,s,g
e,x,f,g,t,n,f,c,b,p,t,b,274,s,s,g,p,p,w,26,o,p,n,v,d
p,x,s,n,f,s,f,c,n,b,t,?,233,k,s,p,w,p,w,23,o,e,w,v,l
e,b,s,w,t,l,f,c,b,k,e,c,3,s,s,w,w,p,w,23,o,p,n,n,g
p,f,f,y,f,f,f,c,b,h,e,b,203,k,k,p,n,p,w,38,o,l,h,y,d
p,f,s,n,f,s,f,c,n,b,t,?,76,s,s,p,w,p,w,29,o,e,w,v,l
p,f,f,y,f,f,f,c,b,h,e,b,2300,k,k,n,n,p,w,28,o,l,h,y,d
e,b,s,n,f,n,a,c,b,n,e,?,38,s,s,o,o,p,n,23,o,p,y,c,l
p,f,s,e,f,f,f,c,n,b,t,?,159,s,k,p,w,p,w,48,o,e,w,v,d
e,f,y,g,t,n,f,c,b,w,t,b,390,s,s,g,g,p,w,23,o,p,n,y,d
p,x,s,n,f,y,f,c,n,b,t,?,417,k,s,w,p,p,w,42,o,e,w,v,l
e,f,f,e,t,n,f,c,b,u,t,b,139,s,s,g,w,p,w,23,o,p,n,v,d
e,x,y,g,t,n,f,c,b,n,t,b,59,s,s,g,p,p,w,23,o,p,n,y,d
e,x,f,e,t,n,f,c,b,p,t,b,22,s,s,w,g,p,w,48,o,p,n,y,d
p,f,s,w,t,f,f,c,b,h,t,b,11,s,f,w,w,p,w,34,o,p,h,v,u
p,f,y,e,f,y,f,c,n,b,t,?,3,k,k,p,w,p,w,23,o,e,w,v,d
e,x,y,n,t,n,f,c,b,w,t,b,53,s,s,p,p,p,w,23,o,p,n,y,d
e,f,s,g,f,n,f,w,b,p,t,e,40,s,s,w,w,p,w,23,o,e,k,s,g
e,x,y,y,t,l,f,c,b,w,e,r,83,s,y,w,w,p,w,23,o,p,k,s,g
p,f,y,n,t,p,f,c,n,k,e,e,13,s,s,w,w,p,w,48,o,p,k,s,u
e,x,f,e,t,n,f,c,b,u,t,b,141,s,s,w,w,p,w,42,o,p,k,v,d
p,f,y,e,f,y,f,c,n,b,t,?,57,k,k,w,w,p,w,23,o,e,w,v,d
p,b,g,w,t,n,f,w,n,w,e,b,51,s,s,w,w,p,w,33,o,p,w,c,l
e,f,y,e,t,n,f,c,b,n,t,b,92,s,s,g,g,p,w,40,o,p,n,y,d
e,x,y,n,t,n,f,c,b,n,t,b,31,s,s,p,g,p,w,27,o,p,n,v,d
e,x,f,w,f,n,f,w,b,h,t,e,90,f,f,w,w,p,w,23,o,e,n,s,g
e,f,y,g,t,n,f,c,b,n,t,b,337,s,s,w,w,p,w,24,o,p,n,v,d
p,k,y,n,f,y,f,c,n,b,t,?,549,k,k,p,w,p,w,35,o,e,w,v,d
e,f,f,g,t,n,f,c,b,u,t,b,22,s,s,p,g,p,w,23,o,p,n,y,d
p,k,y,e,f,y,f,c,n,b,t,?,724,s,k,p,w,p,w,23,o,e,w,v,l
p,x,s,b,t,f,f,c,b,w,t,b,1,f,s,w,w,p,w,34,o,p,h,v,g
e,x,s,g,f,n,f,w,b,n,t,e,181,f,s,w,w,p,w,23,o,e,k,s,g
e,k,s,g,f,n,f,w,b,p,e,?,428,k,s,w,w,p,w,43,t,p,w,s,g
p,f,s,w,t,f,f,c,b,p,t,b,217,f,f,w,w,p,w,23,o,p,h,s,u
e,x,y,b,t,n,f,c,b,e,e,?,88,s,s,e,e,p,w,42,t,e,w,c,w
e,f,s,n,f,n,f,w,b,k,t,e,12,s,f,w,w,p,w,32,o,e,n,a,g
e,x,s,g,f,n,f,w,b,h,t,e,46,s,s,w,w,p,w,23,o,e,k,s,g
e,f,y,n,t,n,f,c,b,w,t,b,361,s,s,g,g,p,w,0,o,p,k,y,d
p,f,y,g,f,f,f,c,b,p,e,b,538,k,k,p,n,p,w,23,o,l,h,y,g
e,f,y,y,t,l,f,c,b,w,e,r,3,s,y,w,w,p,w,23,o,p,n,y,g
p,x,f,g,f,f,f,c,b,h,e,b,55,k,k,p,p,p,w,23,o,l,h,y,d
p,f,y,y,f,f,f,c,b,p,e,b,178,k,k,b,b,p,w,23,o,l,h,v,g
e,f,f,e,t,n,f,c,b,u,t,b,141,s,s,g,g,p,w,47,o,p,n,v,d
e,b,s,n,f,n,a,c,b,n,e,?,813,s,s,o,o,p,o,55,o,p,n,v,l
e,x,y,e,t,n,f,c,b,w,t,b,6,s,s,g,w,p,w,45,o,p,n,y,d
p,f,y,n,f,s,f,c,n,b,t,?,673,k,k,w,w,p,w,42,o,e,w,v,l
p,k,y,e,f,s,f,c,n,b,t,?,265,s,s,p,p,p,w,30,o,e,w,v,l
e,f,s,n,f,n,f,w,b,n,t,e,68,s,s,w,w,p,w,35,o,e,n,a,g
e,x,y,y,t,l,f,c,b,p,e,r,7,s,y,w,w,p,w,26,o,p,n,y,g
p,f,s,w,t,f,f,c,b,p,t,b,129,s,f,w,w,p,w,23,o,p,h,s,g
p,x,s,w,t,p,f,c,n,n,e,e,123,s,s,w,w,p,w,23,o,p,n,v,g
p,x,s,e,f,f,f,c,n,b,t,?,198,k,s,p,w,p,w,38,o,e,w,v,p
p,x,y,g,f,f,f,c,b,h,e,b,117,k,k,p,b,p,w,28,o,l,h,y,p
e,x,f,n,t,n,f,c,b,p,t,b,7,s,s,p,w,p,w,49,o,p,n,y,d
e,x,f,w,f,n,f,w,b,w,e,?,585,k,s,w,w,p,w,32,t,p,w,s,g
p,x,y,y,f,f,f,c,b,g,e,b,341,k,k,p,b,p,w,35,o,l,h,v,g
p,f,y,n,f,y,f,c,n,b,t,?,225,s,s,w,p,p,w,49,o,e,w,v,d
p,k,y,n,f,s,f,c,n,b,t,?,559,s,s,w,p,p,w,38,o,e,w,v,d
e,x,s,y,t,a,f,c,b,g,e,c,44,s,s,w,w,p,w,26,o,p,n,n,m
e,x,s,y,t,a,f,c,b,g,e,c,150,s,s,w,w,p,w,25,o,p,n,n,g
e,x,f,e,t,n,f,c,b,u,t,b,341,s,s,w,g,p,w,23,o,p,n,y,d
p,x,s,e,f,f,f,c,n,b,t,?,74,s,s,p,w,p,w,44,o,e,w,v,p
e,x,f,n,f,n,f,w,b,h,t,e,18,s,f,w,w,p,w,24,o,e,k,a,g
e,x,f,g,f,n,f,w,b,h,t,e,3,f,f,w,w,p,w,24,o,e,k,s,g
e,x,f,e,t,n,f,c,b,n,t,b,2,s,s,g,g,p,w,28,o,p,k,v,d
e,x,f,w,f,n,f,w,b,n,t,e,167,f,f,w,w,p,w,52,o,e,n,s,g
e,x,y,e,t,n,f,c,b,u,t,b,258,s,s,w,p,p,w,25,o,p,k,y,d
p,k,y,n,f,s,f,c,n,b,t,?,591,s,s,w,p,p,w,23,o,e,w,v,p
p,k,y,n,f,y,f,c,n,b,t,?,126,s,k,p,p,p,w,24,o,e,w,v,d
e,x,y,g,t,n,f,c,b,w,t,b,117,s,s,g,w,p,w,68,o,p,n,v,d
p,x,y,e,f,y,f,c,n,b,t,?,91,s,s,p,p,p,w,23,o,e,w,v,p
e,b,f,w,f,n,f,w,b,w,e,?,634,k,k,w,w,p,w,36,t,p,w,s,g
e,x,f,g,t,n,f,c,b,n,t,b,8,s,s,w,p,p,w,22,o,p,n,y,d
e,x,f,g,t,n,f,c,b,p,t,b,212,s,s,g,g,p,w,23,o,p,k,v,d
e,x,s,w,f,n,f,w,b,p,t,e,410,f,s,w,w,p,w,22,o,e,k,a,g
e,f,f,g,f,n,f,w,b,p,t,e,188,s,f,w,w,p,w,31,o,e,n,s,g
e,x,s,g,f,n,f,w,b,n,t,e,93,f,f,w,w,p,w,24,o,e,k,a,g
p,x,f,y,f,f,f,c,b,h,e,b,29,k,k,n,b,p,w,59,o,l,h,y,p
e,b,s,g,f,n,f,w,b,p,e,?,267,k,k,w,w,p,w,43,t,p,w,n,g
e,k,f,w,f,n,f,w,b,w,e,?,124,k,k,w,w,p,w,23,t,p,w,n,g
e,x,f,n,t,n,f,c,b,u,t,b,5,s,s,w,g,p,w,25,o,p,k,v,d
e,f,s,w,f,n,f,w,b,p,t,e,1,f,f,w,w,p,w,23,o,e,n,a,g
e,x,s,w,t,a,f,c,b,k,e,c,128,s,s,w,w,p,w,25,o,p,n,s,g
e,x,y,n,t,a,f,c,b,n,e,r,3,s,y,w,w,p,w,42,o,p,k,y,g
e,f,y,e,t,n,f,c,b,e,e,?,7,s,s,e,e,p,w,23,t,e,w,c,w
p,f,s,e,f,f,f,c,n,b,t,?,291,k,s,p,w,p,w,50,o,e,w,v,d
e,x,y,e,t,n,f,c,b,w,t,b,232,s,s,g,p,p,w,23,o,p,n,y,d
p,x,s,b,t,f,f,c,b,p,t,b,33,s,s,w,w,p,w,31,o,p,h,v,g
p,f,y,y,f,f,f,c,b,g,e,b,495,k,k,b,n,p,w,28,o,l,h,y,p
e,x,y,g,t,n,f,c,b,p,t,b,420,s,s,p,g,p,w,37,o,p,k,v,d
e,x,f,g,f,n,f,w,b,n,t,e,226,f,f,w,w,p,w,33,o,e,k,s,g
p,k,s,e,f,y,f,c,n,b,t,?,28,s,s,p,w,p,w,34,o,e,w,v,l
e,x,f,e,t,n,f,c,b,w,t,b,6,s,s,w,p,p,w,23,o,p,n,y,d
p,f,s,b,t,f,f,c,b,h,t,b,168,f,s,w,w,p,w,36,o,p,h,v,g
p,x,s,g,t,f,f,c,b,h,t,b,221,s,s,w,w,p,w,23,o,p,h,s,u
p,x,s,e,f,f,f,c,n,b,t,?,250,k,s,p,w,p,w,37,o,e,w,v,d
e,f,f,g,t,n,f,c,b,u,t,b,342,s,s,w,w,p,w,23,o,p,k,v,d
e,x,s,y,t,a,f,w,n,w,t,b,90,s,s,w,w,p,w,23,o,p,n,v,d
p,x,y,n,f,f,f,c,n,b,t,?,419,s,k,w,w,p,w,23,o,e,w,v,p
p,x,s,w,t,f,f,c,b,p,t,b,78,f,s,w,w,p,w,27,o,p,h,v,u
p,x,y,y,f,f,f,c,b,p,e,b,27,k,k,b,b,p,w,43,o,l,h,v,d
p,x,f,y,f,f,f,c,b,h,e,b,5,k,k,b,p,p,w,44,o,l,h,y,d
p,x,y,g,f,f,f,c,b,h,e,b,108,k,k,p,p,p,w,24,o,l,h,v,d
e,x,s,n,f,n,a,c,b,o,e,?,16,s,s,o,o,p,o,27,o,p,b,c,l
e,b,s,w,f,n,f,w,b,g,e,?,40,s,k,w,w,p,w,58,t,p,w,s,g
p,x,y,e,f,f,f,c,n,b,t,?,283,s,s,p,w,p,w,23,o,e,w,v,p
p,x,s,w,t,f,f,c,b,p,t,b,109,f,f,w,w,p,w,41,o,p,h,v,u
e,f,y,e,t,n,f,c,b,u,t,b,179,s,s,g,g,p,w,23,o,p,n,v,d
p,x,f,y,f,f,f,c,b,p,e,b,167,k,k,p,b,p,w,23,o,l,h,y,p
p,x,y,g,f,f,f,c,b,h,e,b,289,k,k,b,p,p,w,33,o,l,h,v,p
e,f,f,n,f,n,f,w,b,h,t,e,297,s,s,w,w,p,w,23,o,e,n,a,g
p,x,s,w,t,p,f,c,n,k,e,e,51,s,s,w,w,p,w,38,o,p,n,s,g
p,b,s,w,t,n,f,c,b,r,e,b,208,s,s,w,w,p,w,22,t,p,r,v,g
e,f,s,w,f,n,f,w,b,n,t,e,76,s,s,w,w,p,w,23,o,e,n,a,g
p,f,y,g,f,f,f,c,b,p,e,b,163,k,k,b,n,p,w,31,o,l,h,v,g
e,f,f,e,t,n,f,c,b,p,t,b,195,s,s,p,w,p,w,23,o,p,k,v,d
p,f,s,w,t,f,f,c,b,p,t,b,73,s,f,w,w,p,w,23,o,p,h,s,u
p,f,s,e,f,y,f,c,n,b,t,?,566,s,k,p,p,p,w,40,o,e,w,v,p
p,f,y,n,f,f,f,c,n,b,t,?,255,s,s,p,w,p,w,25,o,e,w,v,p
p,x,y,e,f,y,f,c,n,b,t,?,262,s,s,p,p,p,w,31,o,e,w,v,d
e,f,y,n,t,n,f,c,b,n,t,b,2300,s,s,g,p,p,w,25,o,p,n,v,d
p,x,y,e,f,f,f,c,n,b,t,?,14,s,k,w,w,p,w,43,o,e,w,v,l
p,x,y,y,f,f,f,c,b,g,e,b,396,k,k,b,p,p,w,23,o,l,h,v,d
e,b,y,w,t,l,f,c,b,w,e,c,243,s,s,w,w,p,w,23,o,p,k,s,m
e,f,f,g,t,n,f,c,b,p,t,b,331,s,s,p,g,p,w,43,o,p,n,y,d
e,f,f,w,f,n,f,w,b,h,t,e,14,s,s,w,w,p,w,27,o,e,n,a,g
p,x,y,g,f,f,f,c,b,h,e,b,455,k,k,p,p,p,w,37,o,l,h,v,p
p,x,y,e,f,f,f,c,n,b,t,?,223,k,k,w,w,p,w,52,o,e,w,v,p
p,x,s,e,f,s,f,c,n,b,t,?,759,s,s,w,p,p,w,55,o,e,w,v,p
p,x,y,n,f,f,f,c,n,b,t,?,124,k,s,w,w,p,w,60,o,e,w,v,p
e,x,s,y,t,a,f,c,b,w,e,c,118,s,s,w,w,p,w,24,o,p,n,s,m
p,f,s,n,f,y,f,c,n,b,t,?,297,k,k,w,w,p,w,23,o,e,w,v,d
e,f,y,g,t,n,f,c,b,n,t,b,10,s,s,w,p,p,w,29,o,p,n,v,d
e,x,y,e,t,n,f,c,b,w,e,?,190,s,s,e,w,p,w,30,t,e,w,c,w
e,x,f,e,t,n,f,c,b,n,t,b,207,s,s,p,w,p,w,23,o,p,n,y,d
p,f,y,g,f,f,f,c,b,g,e,b,121,k,k,b,b,p,w,58,o,l,h,v,d
p,k,s,n,f,y,f,c,n,b,t,?,338,s,k,p,w,p,w,29,o,e,w,v,d
e,f,y,e,t,n,f,c,b,n,t,b,131,s,s,p,g,p,w,23,o,p,n,y,d
e,x,f,g,t,n,f,c,b,p,t,b,421,s,s,p,p,p,w,24,o,p,n,y,d
e,f,y,n,t,l,f,c,b,n,e,r,100,s,y,w,w,p,w,48,o,p,n,s,p
p,f,y,y,f,f,f,c,b,p,e,b,90,k,k,n,p,p,w,24,o,l,h,v,d
p,k,s,e,f,f,f,c,n,b,t,?,63,k,k,p,p,p,w,23,o,e,w,v,p
